Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Pulp Fiction,tt0110912,1994,"Crime, Drama","Director:, Quentin Tarantino, | ,     Stars:, John Travolta, , Uma Thurman, , Samuel L. Jackson, , Bruce Willis","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9,154 min,R,2111726,"107,928,762"
Ozark,tt5071412,2017–2022,"Crime, Drama, Thriller","Stars:, Jason Bateman, , Laura Linney, , Sofia Hublitz, , Skylar Gaertner","A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",8.5,60 min,TV-MA,327442,
Chicago P.D.,tt2805096,2014– ,"Action, Crime, Drama","Stars:, Jason Beghe, , Patrick John Flueger, , Marina Squerciati, , LaRoyce Hawkins","Follows District 21 of the Chicago Police Department, made up of two different groups: the uniformed cops and the Intelligence Unit.",8.1,43 min,TV-14,41046,
NCIS: Los Angeles,tt1378167,2009–2023,"Action, Crime, Drama","Stars:, Chris O'Donnell, , Daniela Ruah, , LL Cool J, , Eric Christian Olsen","The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks.",6.8,43 min,TV-14,55660,
Titans,tt1043813,I) (2018–2023,"Action, Adventure, Crime","Stars:, Brenton Thwaites, , Anna Diop, , Ryan Potter, , Teagan Croft","Dick and Rachel, a girl possessed by a strange darkness, get embroiled in a conspiracy that could bring Hell on Earth. Joining them along the way are the hot-headed Starfire and lovable Beast Boy. Together they become a team of heroes.",7.5,45 min,TV-MA,106612,
FBI,tt7491982,2018– ,"Action, Crime, Drama","Stars:, Missy Peregrym, , Zeeko Zaki, , Jeremy Sisto, , Alana De La Garza",Procedural drama about the inner workings of the New York office of the Federal Bureau of Investigation.,7.0,60 min,TV-14,20287,
We're the Millers,tt1723121,2013,"Comedy, Crime","Director:, Rawson Marshall Thurber, | ,     Stars:, Jason Sudeikis, , Jennifer Aniston, , Emma Roberts, , Ed Helms",A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,7.0,110 min,R,464347,"150,394,119"
John Wick: Chapter 3 - Parabellum,tt6146586,2019,"Action, Crime, Thriller","Director:, Chad Stahelski, | ,     Stars:, Keanu Reeves, , Halle Berry, , Ian McShane, , Laurence Fishburne","John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",7.4,130 min,R,391984,"171,015,687"
Mayor of Kingstown,tt11712058,2021– ,"Crime, Drama, Thriller","Stars:, Jeremy Renner, , Dianne Wiest, , Hugh Dillon, , Tobi Bamtefa","The McLusky family are power brokers tackling themes of systemic racism, corruption and inequality in Kingstown, Michigan, where the business of incarceration is the only thriving industry.",8.2,,TV-MA,38726,
Riverdale,tt5420376,2017–2023,"Crime, Drama, Mystery","Stars:, Lili Reinhart, , Camila Mendes, , Cole Sprouse, , K.J. Apa","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",6.6,45 min,TV-14,149104,
Black Bird,tt4301160,2022,"Biography, Crime, Drama","Stars:, Taron Egerton, , Paul Walter Hauser, , Greg Kinnear, , Ray Liotta",Jimmy Keene is sentenced to 10 years in a minimum security prison but he cuts a deal with the FBI to befriend a suspected serial killer. Keene has to elicit a confession from Larry Hall to find the bodies of as many as eighteen women.,8.1,347 min,TV-MA,80106,
Operation Mayfair,tt21403688,2023,"Crime, Thriller","Director:, Sudipto Sarkar, | ,     Stars:, Jimmy Shergill, , Hritiqa Chheber, , Sammy Jonas Heaney, , Bryan Lawrence",A detective hunts for a London-based serial killer who targets women in this gritty Hindi language thriller.,2.3,116 min,,664,
Dark,tt5753856,2017–2020,"Crime, Drama, Mystery","Stars:, Louis Hofmann, , Karoline Eichhorn, , Lisa Vicari, , Maja Schöne","A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",8.7,60 min,TV-MA,409923,
Dahaad,tt19868314,2023– ,"Crime, Drama, Mystery","Stars:, Sonakshi Sinha, , Vijay Varma, , Gulshan Devaiah, , Sohum Shah","Sub-inspector Anjali Bhaati investigates a series of deaths where women are found in public bathrooms. The deaths first appear as suicides but as the investigation progresses, Bhaati realizes that there's a serial killer on the loose.",7.5,55 min,,6698,
Mr Inbetween,tt7472896,2018–2021,"Crime, Drama","Stars:, Scott Ryan, , Chika Yasumura, , Justin Rosniak, , Damon Herriman","Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.",8.6,30 min,TV-MA,22511,
Prison Break,tt0455275,2005–2017,"Action, Crime, Drama","Stars:, Dominic Purcell, , Wentworth Miller, , Amaury Nolasco, , Robert Knepper","A structural engineer installs himself in a prison he helped design, in order to save his falsely accused brother from a death sentence by breaking themselves out from the inside.",8.3,44 min,TV-14,552600,
Columbo,tt1466074,1971–2003,"Crime, Drama, Mystery","Stars:, Peter Falk, , Mike Lally, , John Finnegan, , Bruce Kirby",Los Angeles homicide detective Lieutenant Columbo uses his humble ways and ingenuous demeanor to winkle out even the most well-concealed of crimes.,8.3,100 min,TV-PG,38446,
Dexter,tt0773262,2006–2013,"Crime, Drama, Mystery","Stars:, Michael C. Hall, , Jennifer Carpenter, , David Zayas, , James Remar","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them.",8.7,53 min,TV-MA,739398,
Fast & Furious,tt1013752,2009,"Action, Crime, Thriller","Director:, Justin Lin, | ,     Stars:, Vin Diesel, , Paul Walker, , Michelle Rodriguez, , Jordana Brewster","Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",6.5,107 min,PG-13,298065,"155,064,265"
Violent Night,tt12003946,2022,"Action, Comedy, Crime","Director:, Tommy Wirkola, | ,     Stars:, David Harbour, , John Leguizamo, , Beverly D'Angelo, , Alex Hassell","When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas).",6.7,112 min,R,71905,
Furious 7,tt2820852,2015,"Action, Crime, Thriller","Director:, James Wan, | ,     Stars:, Vin Diesel, , Paul Walker, , Dwayne Johnson, , Jason Statham",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,7.1,137 min,PG-13,401246,"353,007,020"
American Psycho,tt0144084,2000,"Crime, Drama, Horror","Director:, Mary Harron, | ,     Stars:, Christian Bale, , Justin Theroux, , Josh Lucas, , Bill Sage","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",7.6,102 min,R,657227,"15,070,285"
Narcos,tt2707408,2015–2017,"Biography, Crime, Drama","Stars:, Pedro Pascal, , Wagner Moura, , Boyd Holbrook, , Alberto Ammann","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",8.8,49 min,TV-MA,442895,
Sherlock,tt1475582,2010–2017,"Crime, Drama, Mystery","Stars:, Benedict Cumberbatch, , Martin Freeman, , Una Stubbs, , Rupert Graves","The quirky spin on Conan Doyle's iconic sleuth pitches him as a ""high-functioning sociopath"" in modern-day London. Assisting him in his investigations: Afghanistan War vet John Watson, who's introduced to Holmes by a mutual acquaintance.",9.1,88 min,TV-14,951972,
Florida Man,tt14509130,2023,"Crime, Drama, Mystery","Stars:, Edgar Ramírez, , Abbey Lee, , Otmara Marrero, , Lex Scott Davis","When an ex-cop returns to his home state of Florida to find a mobster's runaway girlfriend, what should've been a quick gig turns into a wild odyssey.",6.7,354 min,TV-MA,7706,
Arrow,tt2193021,2012–2020,"Action, Adventure, Crime","Stars:, Stephen Amell, , Katie Cassidy, , David Ramsey, , Susanna Thompson","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",7.5,42 min,TV-14,438024,
Scoop,tt22297178,2023– ,"Biography, Crime, Drama","Stars:, Karishma Tanna, , Harman Baweja, , Mohd. Zeeshan Ayyub, , Inayat Sood",A journalist's life takes a 360 because of the very system that made her who she is. Will she fight or will she concede?,7.7,60 min,TV-MA,1095,
Orange Is the New Black,tt2372162,2013–2019,"Comedy, Crime, Drama","Stars:, Taylor Schilling, , Danielle Brooks, , Taryn Manning, , Emma Myles","Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",8.1,59 min,TV-MA,309984,
John Wick: Chapter 2,tt4425200,2017,"Action, Crime, Thriller","Director:, Chad Stahelski, | ,     Stars:, Keanu Reeves, , Riccardo Scamarcio, , Ian McShane, , Ruby Rose","After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",7.4,122 min,R,478360,"92,029,184"
The Mentalist,tt1196946,2008–2015,"Crime, Drama, Mystery","Stars:, Simon Baker, , Robin Tunney, , Tim Kang, , Owain Yeoman","A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter.",8.2,43 min,TV-14,191263,
Glass Onion,tt11564570,2022,"Comedy, Crime, Drama","Director:, Rian Johnson, | ,     Stars:, Daniel Craig, , Edward Norton, , Kate Hudson, , Dave Bautista",Famed Southern detective Benoit Blanc travels to Greece for his latest case.,7.1,139 min,PG-13,394114,
Power Book II: Ghost,tt10732104,2020– ,"Crime, Drama","Stars:, Michael Rainey Jr., , Gianni Paolo, , Lovell Adams-Gray, , Woody McClain",The journey of some of Power's most controversial characters.,7.4,60 min,TV-MA,9623,
The Americans,tt2149175,2013–2018,"Crime, Drama, Mystery","Stars:, Keri Russell, , Matthew Rhys, , Keidrich Sellati, , Holly Taylor","At the height of the Cold War, two Russian agents pose as the average American couple, complete with family.",8.4,44 min,TV-MA,104697,
