Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
UglyDolls,tt1946502,2019,"Animation, Adventure, Comedy","Director:, Kelly Asbury, | ,     Stars:, Kelly Clarkson, , Nick Jonas, , Janelle Monáe, , Blake Shelton","An animated adventure in which the free-spirited UglyDolls confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.",5.1,87 min,PG,7375,"20,150,241"
The Sound of Music,tt0059742,1965,"Biography, Drama, Family","Director:, Robert Wise, | ,     Stars:, Julie Andrews, , Christopher Plummer, , Eleanor Parker, , Richard Haydn",A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,8.1,172 min,G,244835,"163,214,286"
Guillermo del Toro's Pinocchio,tt1488589,2022,"Animation, Drama, Family","Directors:, Guillermo del Toro, , Mark Gustafson, | ,     Stars:, Ewan McGregor, , David Bradley, , Gregory Mann, , Burn Gorman","A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.",7.6,117 min,PG,99301,
The Rocky Horror Picture Show,tt0073629,1975,"Comedy, Horror, Musical","Director:, Jim Sharman, | ,     Stars:, Tim Curry, , Susan Sarandon, , Barry Bostwick, , Richard O'Brien",A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,7.4,100 min,R,157955,"139,876,417"
Rio,tt1436562,2011,"Animation, Adventure, Comedy","Director:, Carlos Saldanha, | ,     Stars:, Jesse Eisenberg, , Anne Hathaway, , George Lopez, , Karen Disher","When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",6.9,96 min,G,237152,"143,619,809"
Sing,tt3470600,2016,"Animation, Comedy, Family","Directors:, Garth Jennings, , Christophe Lourdelet, | ,     Stars:, Matthew McConaughey, , Reese Witherspoon, , Seth MacFarlane, , Scarlett Johansson","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",7.1,108 min,PG,178841,"270,395,425"
Mulan,tt0120762,1998,"Animation, Adventure, Comedy","Directors:, Tony Bancroft, , Barry Cook, | ,     Stars:, Ming-Na Wen, , Eddie Murphy, , BD Wong, , Miguel Ferrer","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",7.6,87 min,G,299610,"120,620,254"
The Princess and the Frog,tt0780521,2009,"Animation, Adventure, Comedy","Directors:, Ron Clements, , John Musker, | ,     Stars:, Anika Noni Rose, , Keith David, , Oprah Winfrey, , Bruno Campos","A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",7.1,97 min,G,154462,"104,400,899"
Enchanted,tt0461770,2007,"Animation, Adventure, Comedy","Director:, Kevin Lima, | ,     Stars:, Amy Adams, , Susan Sarandon, , James Marsden, , Patrick Dempsey","A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.",7.1,107 min,PG,210564,"127,807,262"
Moulin Rouge!,tt0203009,2001,"Drama, Musical, Romance","Director:, Baz Luhrmann, | ,     Stars:, Nicole Kidman, , Ewan McGregor, , John Leguizamo, , Jim Broadbent",A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.,7.6,127 min,PG-13,291417,"57,386,607"
Labyrinth,tt0091369,1986,"Adventure, Family, Fantasy","Director:, Jim Henson, | ,     Stars:, David Bowie, , Jennifer Connelly, , Toby Froud, , Shelley Thompson",Sixteen-year-old Sarah is given thirteen hours to solve a labyrinth and rescue her baby brother Toby when her wish for him to be taken away is granted by the Goblin King Jareth.,7.3,101 min,PG,143017,"12,729,917"
Pinocchio,tt4593060,2022,"Adventure, Comedy, Drama","Director:, Robert Zemeckis, | ,     Stars:, Joseph Gordon-Levitt, , Tom Hanks, , Benjamin Evan Ainsworth, , Angus Wright","A puppet is brought to life by a fairy, who assigns him to lead a virtuous life in order to become a real boy.",5.1,105 min,PG,38936,
Helluva Boss,tt10691770,2019– ,"Animation, Comedy, Crime","Stars:, Brandon Rogers, , Richard Steven Horvitz, , Vivian Nixon, , Erica Lindbeck","In Hell, imp Blitzø runs an assassin business targeting the world of the living, using a spell book borrowed from a prince of Hell. With employees Moxxie, Millie, and Loona, they attempt to survive each other while keeping business afloat.",8.2,174 min,TV-MA,5997,
The Blues Brothers,tt0080455,1980,"Action, Adventure, Comedy","Director:, John Landis, | ,     Stars:, John Belushi, , Dan Aykroyd, , Cab Calloway, , John Candy","Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",7.9,133 min,R,206011,"57,229,890"
Disenchanted,tt1596342,2022,"Animation, Adventure, Comedy","Director:, Adam Shankman, | ,     Stars:, Amy Adams, , Patrick Dempsey, , Maya Rudolph, , Gabriella Baldacchino","Fifteen years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process.",5.6,119 min,PG,23232,
Phineas and Ferb,tt0852863,2007–2024,"Animation, Short, Action","Stars:, Vincent Martella, , Dan Povenmire, , Thomas Brodie-Sangster, , Ashley Tisdale","Phineas and Ferb invent, scheme, and stay one step ahead of their bratty sister. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz.",8.1,15 min,TV-G,51206,
The Phantom of the Opera,tt0293508,2004,"Drama, Musical, Romance","Director:, Joel Schumacher, | ,     Stars:, Gerard Butler, , Emmy Rossum, , Patrick Wilson, , Miranda Richardson",A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,7.2,143 min,PG-13,126568,"51,268,815"
Robin Hood: Men in Tights,tt0107977,1993,"Adventure, Comedy, Musical","Director:, Mel Brooks, | ,     Stars:, Cary Elwes, , Richard Lewis, , Roger Rees, , Amy Yasbeck","A spoof of Robin Hood in general, and Robin Hood: Prince of Thieves (1991) in particular.",6.7,104 min,PG-13,131043,"35,739,755"
Descendants,tt3440298,2015 TV Movie,"Comedy, Family, Fantasy","Director:, Kenny Ortega, | ,     Stars:, Dove Cameron, , Cameron Boyce, , Booboo Stewart, , Sofia Carson",The teenage son of the king and queen of Auradon offers the trouble-making children of villains a chance to attend prep school in the kingdom.,6.3,112 min,TV-G,22431,
Chicago,tt0299658,2002,"Comedy, Crime, Musical","Director:, Rob Marshall, | ,     Stars:, Renée Zellweger, , Catherine Zeta-Jones, , Richard Gere, , Taye Diggs","Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.",7.2,113 min,PG-13,235820,"170,687,518"
Mary Poppins,tt0058331,1964,"Comedy, Family, Fantasy","Director:, Robert Stevenson, | ,     Stars:, Julie Andrews, , Dick Van Dyke, , David Tomlinson, , Glynis Johns","In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",7.8,139 min,G,178597,"102,272,727"
Anastasia,tt0118617,1997,"Animation, Adventure, Drama","Directors:, Don Bluth, , Gary Goldman, | ,     Stars:, Meg Ryan, , John Cusack, , Christopher Lloyd, , Kelsey Grammer","The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death.",7.1,94 min,G,129472,"58,406,347"
Bugsy Malone,tt0074256,1976,"Comedy, Crime, Family","Director:, Alan Parker, | ,     Stars:, Jodie Foster, , Scott Baio, , Florence Garland, , John Cassisi",The classic gangster story of Bugsy Malone told with an all-child cast.,6.8,93 min,G,18747,"2,783,840"
Mamma Mia! Here We Go Again,tt6911608,2018,"Comedy, Musical, Romance","Director:, Ol Parker, | ,     Stars:, Lily James, , Amanda Seyfried, , Meryl Streep, , Cher","Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",6.6,114 min,PG-13,100695,"120,634,935"
Cinderella,tt10155932,I) (2021,"Comedy, Family, Fantasy","Director:, Kay Cannon, | ,     Stars:, Camila Cabello, , Billy Porter, , Nicholas Galitzine, , Idina Menzel","A modern movie musical with a bold take on the classic fairy tale. Our ambitious heroine has big dreams and with the help of her fab Godmother, she perseveres to make them come true.",4.4,113 min,PG,43647,
Frozen II,tt4520988,2019,"Animation, Adventure, Comedy","Directors:, Chris Buck, , Jennifer Lee, | ,     Stars:, Kristen Bell, , Idina Menzel, , Josh Gad, , Jonathan Groff","Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",6.8,103 min,PG,181589,"477,373,578"
Trolls,tt1679335,2016,"Animation, Adventure, Comedy","Directors:, Mike Mitchell, , Walt Dohrn, | ,     Stars:, Anna Kendrick, , Justin Timberlake, , Zooey Deschanel, , Christopher Mintz-Plasse","After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",6.4,92 min,PG,86071,"153,707,064"
Into the Woods,tt2180411,2014,"Adventure, Comedy, Drama","Director:, Rob Marshall, | ,     Stars:, Anna Kendrick, , Meryl Streep, , Chris Pine, , Emily Blunt",A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,5.9,125 min,PG,144477,"128,002,372"
Mary Poppins Returns,tt5028340,2018,"Adventure, Comedy, Family","Director:, Rob Marshall, | ,     Stars:, Emily Blunt, , Lin-Manuel Miranda, , Ben Whishaw, , Emily Mortimer","A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",6.7,130 min,PG,91490,"171,958,438"
Grease 2,tt0084021,1982,"Comedy, Music, Musical","Director:, Patricia Birch, | ,     Stars:, Michelle Pfeiffer, , Maxwell Caulfield, , Lorna Luft, , Maureen Teefy",A British student at a 1960s American high school must prove himself to the leader of a girls' gang whose members can only date greasers.,4.5,115 min,PG,37261,"15,171,476"
Steven Universe,tt3061046,2013–2019,"Animation, Short, Action","Stars:, Zach Callison, , Deedee Magno, , Michaela Dietz, , Estelle","A team of intergalactic warriors fights to protect the Earth, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them.",8.2,11 min,TV-PG,36390,
The Jungle Book,tt0061852,1967,"Animation, Adventure, Comedy","Director:, Wolfgang Reitherman, | ,     Stars:, Phil Harris, , Sebastian Cabot, , Louis Prima, , Bruce Reitherman",Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,7.6,78 min,G,190216,"141,843,612"
VGLY,tt21304664,2023– ,"Comedy, Drama, Musical","Stars:, Sasha González, , Benny Emmanuel, , Vitter Leija, , Juan Daniel García Treviño",A story of survival within the competitive world of Latin urban music.,7.2,,,112,
Cats,tt5697572,2019,"Comedy, Drama, Family","Director:, Tom Hooper, | ,     Stars:, James Corden, , Judi Dench, , Jason Derulo, , Idris Elba",A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,2.8,110 min,PG,53546,
Little Shop of Horrors,tt0091419,1986,"Comedy, Horror, Musical","Director:, Frank Oz, | ,     Stars:, Rick Moranis, , Ellen Greene, , Vincent Gardenia, , Levi Stubbs",A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.,7.1,94 min,PG-13,80579,"38,747,385"
Sweeney Todd: The Demon Barber of Fleet Street,tt0408236,2007,"Drama, Horror, Musical","Director:, Tim Burton, | ,     Stars:, Johnny Depp, , Helena Bonham Carter, , Alan Rickman, , Timothy Spall","The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett.",7.3,116 min,R,376297,"52,898,073"
High School Musical,tt0475293,2006 TV Movie,"Comedy, Drama, Family","Director:, Kenny Ortega, | ,     Stars:, Zac Efron, , Vanessa Hudgens, , Ashley Tisdale, , Lucas Grabeel",A popular high school athlete and an academically gifted girl get roles in the school musical and develop a friendship that threatens East High's social order.,5.5,98 min,TV-G,92127,
