Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Everest,tt2719848,2015,"Action, Adventure, Biography","Director:, Baltasar Kormákur, | ,     Stars:, Jason Clarke, , Ang Phula Sherpa, , Thomas M. Wright, , Martin Henderson","The story of New Zealand mountaineer Rob Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.",7.1,121 min,PG-13,224239,"43,482,270"
Moneyball,tt1210166,2011,"Biography, Drama, Sport","Director:, Bennett Miller, | ,     Stars:, Brad Pitt, , Robin Wright, , Jonah Hill, , Philip Seymour Hoffman",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,7.6,133 min,PG-13,440153,"75,605,492"
The Dropout,tt10166622,2022,"Biography, Drama","Stars:, Amanda Seyfried, , Naveen Andrews, , Michel Gill, , William H. Macy",TV series that chronicles Theranos founder Elizabeth Holmes' attempt to revolutionize the healthcare industry after dropping out of college and starting a technology company.,7.5,403 min,TV-MA,30011,
Flamin' Hot,tt8105234,2023,"Biography, Drama, History","Director:, Eva Longoria, | ,     Stars:, Jesse Garcia, , Annie Gonzalez, , Emilio Rivera, , Vanessa Martinez",This is the inspiring true story of Richard Montañez who as a Frito Lay janitor disrupted the food industry by channeling his Mexican heritage to turn Flamin' Hot Cheetos from a snack into an iconic global pop culture phenomenon.,6.0,99 min,PG-13,203,
Green Book,tt6966692,2018,"Biography, Comedy, Drama","Director:, Peter Farrelly, | ,     Stars:, Viggo Mortensen, , Mahershala Ali, , Linda Cardellini, , Sebastian Maniscalco",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,8.2,130 min,PG-13,520029,"85,080,171"
Coach Carter,tt0393162,2005,"Biography, Drama, Sport","Director:, Thomas Carter, | ,     Stars:, Samuel L. Jackson, , Rick Gonzalez, , Robert Ri'chard, , Rob Brown",Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.,7.3,136 min,PG-13,160896,"67,264,877"
Joy,tt2446980,I) (2015,"Biography, Drama","Director:, David O. Russell, | ,     Stars:, Jennifer Lawrence, , Robert De Niro, , Bradley Cooper, , Edgar Ramírez","Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.",6.6,124 min,PG-13,140567,"56,451,232"
Whitney Houston: I Wanna Dance with Somebody,tt12193804,2022,"Biography, Drama, Music","Director:, Kasi Lemmons, | ,     Stars:, Naomi Ackie, , Stanley Tucci, , Ashton Sanders, , Tamara Tunie","A joyous, emotional, heartbreaking celebration of the life and music of Whitney Houston, one of the greatest female R&B pop vocalists of all time, tracking her journey from obscurity to musical super stardom.",6.6,144 min,PG-13,16772,
Monsters,tt13207736,2022–2024,"Biography, Crime, Drama","Stars:, Evan Peters, , Richard Jenkins, , Molly Ringwald, , Niecy Nash",The story of a cannibalistic serial killer named Jeffrey Dahmer A.K.A. the Milwaukee Monster.,7.9,534 min,TV-MA,140266,
Hamilton,tt8503618,2020,"Biography, Drama, History","Director:, Thomas Kail, | ,     Stars:, Lin-Manuel Miranda, , Phillipa Soo, , Leslie Odom Jr., , Renée Elise Goldsberry","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",8.4,160 min,PG-13,101692,
