Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Black Hawk Down,tt0265086,2001,"Action, Drama, History","Director:, Ridley Scott, | ,     Stars:, Josh Hartnett, , Ewan McGregor, , Tom Sizemore, , Eric Bana","The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",7.7,144 min,R,407634,"108,638,745"
The Tudors,tt0758790,2007–2010,"Drama, History, Romance","Stars:, Jonathan Rhys Meyers, , Henry Cavill, , Anthony Brophy, , James Frain",A dramatic series about the reign and marriages of King Henry VIII.,8.1,60 min,TV-MA,77687,
Vikings: Valhalla,tt11311302,2022– ,"Action, Adventure, Drama","Stars:, Sam Corlett, , Leo Suter, , Frida Gustavsson, , Jóhannes Haukur Jóhannesson","Follow-up series to 'Vikings' set 100 years later and focusing on the adventures of Leif Erikson, Freydis, Harald Hardrada, and the Norman King William the Conqueror.",7.3,51 min,TV-MA,51467,
Warrior,tt5743796,2019– ,"Action, Crime, Drama","Stars:, Andrew Koji, , Olivia Cheng, , Dianne Doan, , Jason Tobin","During the Tong Wars in the late 1800s, Ah Sahm, a martial arts prodigy from China, immigrates to San Francisco and becomes a hatchet man for the most powerful tong in Chinatown.",8.4,60 min,TV-MA,28608,
Prehistoric Planet,tt10324164,2022–2023,"Documentary, Animation, History","Star:, David Attenborough","Travel back 66 million years to when majestic dinosaurs and extraordinary creatures roamed the lands, seas, and skies.",8.5,203 min,TV-PG,9300,
Hidden Figures,tt4846340,2016,"Biography, Drama, History","Director:, Theodore Melfi, | ,     Stars:, Taraji P. Henson, , Octavia Spencer, , Janelle Monáe, , Kevin Costner",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,7.8,127 min,PG,240989,"169,607,287"
Dunkirk,tt5013056,2017,"Action, Drama, History","Director:, Christopher Nolan, | ,     Stars:, Fionn Whitehead, , Barry Keoghan, , Mark Rylance, , Tom Hardy","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",7.8,106 min,PG-13,683114,"188,373,161"
The Big Short,tt1596363,2015,"Biography, Comedy, Drama","Director:, Adam McKay, | ,     Stars:, Christian Bale, , Steve Carell, , Ryan Gosling, , Brad Pitt","In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.",7.8,130 min,R,447314,"70,259,870"
Braveheart,tt0112573,1995,"Biography, Drama, History","Director:, Mel Gibson, | ,     Stars:, Mel Gibson, , Sophie Marceau, , Patrick McGoohan, , Angus Macfadyen",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,8.3,178 min,R,1056382,"75,600,000"
Firebrand,tt15000156,2023,"Drama, History, Horror","Director:, Karim Aïnouz, | ,     Stars:, Alicia Vikander, , Jude Law, , Eddie Marsan, , Sam Riley",Follows Queen Catherine Parr and Henry VIII's marriage.,6.2,120 min,,136,
Flamin' Hot,tt8105234,2023,"Biography, Drama, History","Director:, Eva Longoria, | ,     Stars:, Jesse Garcia, , Annie Gonzalez, , Emilio Rivera, , Vanessa Martinez",This is the inspiring true story of Richard Montañez who as a Frito Lay janitor disrupted the food industry by channeling his Mexican heritage to turn Flamin' Hot Cheetos from a snack into an iconic global pop culture phenomenon.,6.0,99 min,PG-13,203,
Call the Midwife,tt1983079,2012– ,"Drama, History","Stars:, Vanessa Redgrave, , Laura Main, , Jenny Agutter, , Stephen McGann",Chronicles the lives of a group of midwives living in East London in the late 1950s to late 1960s.,8.6,60 min,TV-PG,28749,
Hamilton,tt8503618,2020,"Biography, Drama, History","Director:, Thomas Kail, | ,     Stars:, Lin-Manuel Miranda, , Phillipa Soo, , Leslie Odom Jr., , Renée Elise Goldsberry","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",8.4,160 min,PG-13,101696,
Transatlantic,tt15441266,2023,"Drama, History","Stars:, Gillian Jacobs, , Lucas Englander, , Cory Michael Smith, , Corey Stoll","An American journalist who spent 13 months in France 1940-41 managed to arrange safe passage to the US for over 2,000 refugees; who were in danger of losing their lives.",6.5,353 min,TV-14,3735,
Boston Strangler,tt2560078,2023,"Crime, Drama, History","Director:, Matt Ruskin, | ,     Stars:, Keira Knightley, , Carrie Coon, , Chris Cooper, , Alessandro Nivola",Loretta McLaughlin was the reporter who first connected the murders and broke the story of the Boston Strangler. She and Jean Cole challenged the sexism of the early 1960s to report on the city's most notorious serial killer.,6.5,112 min,R,24153,
The Pacific,tt0374463,2010,"Action, Adventure, Drama","Stars:, James Badge Dale, , Joseph Mazzello, , Jon Seda, , Ashton Holmes","The Pacific Theatre of World War II, as seen through the eyes of several young Marines.",8.3,530 min,TV-MA,117192,
The Favourite,tt5083738,2018,"Biography, Comedy, Drama","Director:, Yorgos Lanthimos, | ,     Stars:, Olivia Colman, , Emma Stone, , Rachel Weisz, , Nicholas Hoult","In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.",7.5,119 min,R,208488,"34,366,783"
The Patriot,tt0187393,2000,"Action, Drama, History","Director:, Roland Emmerich, | ,     Stars:, Mel Gibson, , Heath Ledger, , Joely Richardson, , Jason Isaacs",Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,7.2,165 min,R,282980,"113,330,342"
The Three Musketeers: D'Artagnan,tt12672536,2023,"Action, Adventure, History","Director:, Martin Bourboulon, | ,     Stars:, François Civil, , Vincent Cassel, , Romain Duris, , Pio Marmaï","D'Artagnan arrives in Paris trying to find his attackers after being left for dead, which leads him to a real war where the future of France is at stake. He aligns himself with Athos, Porthos and Aramis, three musketeers of the King.",7.1,121 min,,4559,
The Impossible,tt1649419,2012,"Adventure, Drama, History","Director:, J.A. Bayona, | ,     Stars:, Naomi Watts, , Ewan McGregor, , Tom Holland, , Oaklee Pendergast",The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,7.5,114 min,PG-13,231004,"19,019,882"
Pearl Harbor,tt0213149,2001,"Action, Drama, History","Director:, Michael Bay, | ,     Stars:, Ben Affleck, , Kate Beckinsale, , Josh Hartnett, , William Lee Scott",A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,6.2,183 min,PG-13,341302,"198,542,554"
The Last Duel,tt4244994,2021,"Action, Drama, History","Director:, Ridley Scott, | ,     Stars:, Matt Damon, , Adam Driver, , Jodie Comer, , Harriet Walter",King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,7.4,152 min,R,165882,"10,853,945"
Our Flag Means Death,tt11000902,2022– ,"Action, Adventure, Biography","Stars:, Rhys Darby, , Joel Fry, , Samson Kayo, , Nathan Foad",The year is 1717. Wealthy land-owner Stede Bonnet has a midlife crisis and decides to blow up his cushy life to become a pirate. It does not go well. Based on a true story.,7.8,30 min,TV-MA,30640,
The King,tt7984766,I) (2019,"Biography, Drama, History","Director:, David Michôd, | ,     Stars:, Tom Glynn-Carney, , Gábor Czap, , Tom Fisher, , Edward Ashley","Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",7.3,140 min,R,138841,
Zero Dark Thirty,tt1790885,2012,"Drama, History, Thriller","Director:, Kathryn Bigelow, | ,     Stars:, Jessica Chastain, , Joel Edgerton, , Chris Pratt, , Mark Strong","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.",7.4,157 min,R,309405,"95,720,716"
13 Hours,tt4172430,2016,"Action, Drama, History","Director:, Michael Bay, | ,     Stars:, John Krasinski, , Pablo Schreiber, , James Badge Dale, , David Denman","During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",7.3,144 min,R,150663,"52,853,219"
Kingdom of Heaven,tt0320661,2005,"Action, Adventure, Drama","Director:, Ridley Scott, | ,     Stars:, Orlando Bloom, , Eva Green, , Liam Neeson, , Martin Hancock","Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people.",7.2,144 min,R,297039,"47,398,413"
Chevalier,tt12758486,2022,"Biography, Drama, History","Director:, Stephen Williams, | ,     Stars:, Kelvin Harrison Jr., , Samara Weaving, , Lucy Boynton, , Ronke Adekoluejo","Based on the true story of composer Joseph Bologne, Chevalier de Saint-Georges, the illegitimate son of an African slave and a French plantation owner, who rises to heights in French society as a composer before an ill-fated love affair.",6.9,108 min,PG-13,1494,
Downfall,tt0363163,2004,"Biography, Drama, History","Director:, Oliver Hirschbiegel, | ,     Stars:, Bruno Ganz, , Alexandra Maria Lara, , Ulrich Matthes, , Juliane Köhler","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",8.2,156 min,R,362589,"5,509,040"
The Last Dance,tt8420184,2020,"Documentary, Biography, History","Stars:, Michael Jordan, , Phil Jackson, , Scottie Pippen, , David Aldridge","Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",9.1,491 min,TV-MA,135230,
The Pot au Feu,tt19760052,2023,"Drama, History, Romance","Director:, Anh Hung Tran, | ,     Stars:, Juliette Binoche, , Pierre Gagnaire, , Benoît Magimel, , Jean-Marc Roulot","It tells the story of Eugenie, an esteemed cook, and Dodin, the fine gourmet she has been working for over the last 20 years.",7.3,145 min,,66,
The Empress,tt13720112,2022– ,"Drama, History, Romance","Stars:, Hanna Hilsdorf, , Svenja Jung, , Devrim Lingnau, , Melika Foroutan","Two young people meet. A fateful encounter - the proverbial love at first sight. He is Emperor Franz Joseph of Austria-Hungary, she is Elisabeth von Wittelsbach, Princess of Bavaria and the sister of the woman Franz is to marry.",7.8,55 min,TV-MA,12247,
Medici,tt5057130,2016–2019,"Biography, Drama, History","Stars:, Daniel Sharman, , Alessandra Mastronardi, , Synnove Karlsen, , Sebastian De Souza","A political family drama set in Florence in the early fifteenth century. Cosimo de Medici finds himself at the helm of his banking dynasty when his father, Giovanni, dies suddenly.",7.9,60 min,TV-14,20651,
The Great Escape,tt0057115,1963,"Adventure, Drama, History","Director:, John Sturges, | ,     Stars:, Steve McQueen, , James Garner, , Richard Attenborough, , Charles Bronson",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,8.2,172 min,Approved,249665,"12,100,000"
The Adventures of Young Indiana Jones,tt9733630,2002–2008,"Action, Adventure, Family","Stars:, Sean Patrick Flanery, , Ronny Coutteure, , Lloyd Owen, , Margaret Tyzack","The boyhood adventures of the greatest action hero of all time: Indiana Jones. Young Indy travels the world, meeting some of the greatest figures of the early 20th century, and participating in the events that helped shape history.",7.5,90 min,,561,
Greyhound,tt6048922,2020,"Action, Drama, History","Director:, Aaron Schneider, | ,     Stars:, Tom Hanks, , Elisabeth Shue, , Stephen Graham, , Matt Helm","Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack.",7.0,91 min,PG-13,103509,
Gaslit,tt11834592,2022,"Biography, Drama, History","Stars:, Julia Roberts, , Sean Penn, , Dan Stevens, , Betty Gilpin",A modern take on the 1970s political Watergate scandal centering on untold stories and forgotten characters of the time.,7.3,60 min,TV-MA,6574,
History of the World: Part II,tt15715052,2023,"Comedy, History","Stars:, Mel Brooks, , Ike Barinholtz, , Nick Kroll, , Wanda Sykes","Sequel to the 1981 film, History of the World: Part I.",5.7,26 min,,5128,
Curiosa,tt7598076,2019,"Biography, Drama, History","Director:, Lou Jeunet, | ,     Stars:, Noémie Merlant, , Niels Schneider, , Benjamin Lavernhe, , Camélia Jordana","A passionate love story set against a backdrop of sexual freedom, loosely based on the relationship between 19th-century authors Pierre Louÿs and Marie de Régnier.",5.4,107 min,18+,2811,
The Thin Red Line,tt0120863,1998,"Drama, History, War","Director:, Terrence Malick, | ,     Stars:, Jim Caviezel, , Sean Penn, , Nick Nolte, , Kirk Acevedo","Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",7.6,170 min,R,192978,"36,400,491"
Come Out Fighting,tt10788058,2022,"Action, Adventure, Drama","Director:, Steven Luke, | ,     Stars:, Dolph Lundgren, , Tyrese Gibson, , Michael Jai White, , Kellan Lutz","Set during World War 2, a squad of American Army soldiers are sent on a mission behind lines to locate their missing commanding officer.",4.2,85 min,Approved,624,
Patriots Day,tt4572514,2016,"Action, Crime, Drama","Director:, Peter Berg, | ,     Stars:, Mark Wahlberg, , Michelle Monaghan, , J.K. Simmons, , John Goodman","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",7.3,133 min,R,107788,"31,886,361"
Silence,tt0490215,I) (2016,"Drama, History","Director:, Martin Scorsese, | ,     Stars:, Andrew Garfield, , Adam Driver, , Liam Neeson, , Tadanobu Asano","In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",7.1,161 min,R,116855,"7,100,177"
Bridge of Spies,tt3682448,2015,"Drama, History, Thriller","Director:, Steven Spielberg, | ,     Stars:, Tom Hanks, , Mark Rylance, , Alan Alda, , Amy Ryan","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",7.6,142 min,PG-13,318594,"72,313,754"
12 Years a Slave,tt2024544,2013,"Biography, Drama, History","Director:, Steve McQueen, | ,     Stars:, Chiwetel Ejiofor, , Michael Kenneth Williams, , Michael Fassbender, , Brad Pitt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",8.1,134 min,R,716248,"56,671,993"
King Arthur,tt0349683,2004,"Action, Adventure, Drama","Director:, Antoine Fuqua, | ,     Stars:, Clive Owen, , Stephen Dillane, , Keira Knightley, , Ioan Gruffudd",A demystified take on the tale of King Arthur and the Knights of the Round Table.,6.3,126 min,PG-13,171835,"51,882,244"
The Trial of the Chicago 7,tt1070874,2020,"Drama, History, Thriller","Director:, Aaron Sorkin, | ,     Stars:, Eddie Redmayne, , Alex Sharp, , Sacha Baron Cohen, , Jeremy Strong","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",7.7,129 min,R,184274,
Tale of the Nine Tailed,tt12879418,2020– ,"Fantasy, History, Romance","Stars:, Lee Dong-wook, , Kim Bum, , Kim Yong Ji, , Hwang Hee",An urban dark fantasy drama about a gumiho who settles into the city and a producer who is after it.,7.9,70 min,,6139,
The Longest Day,tt0056197,1962,"Action, Drama, History","Directors:, Ken Annakin, , Andrew Marton, , Gerd Oswald, , Bernhard Wicki, , Darryl F. Zanuck, | ,     Stars:, John Wayne, , Robert Ryan, , Richard Burton, , Henry Fonda","The events of D-Day, told on a grand scale from both the Allied and German points of view.",7.7,178 min,G,57498,"39,100,000"
Marie Antoinette,tt15384074,2022– ,"Biography, Drama, History","Stars:, Emilia Schüle, , Louis Cunningham, , Jack Archer, , Oscar Lesage","Follows the famed queen Marie Antoinette, who was the last queen of France before the French Revolution.",7.3,52 min,,2072,
Midway,tt6924650,2019,"Action, Drama, History","Director:, Roland Emmerich, | ,     Stars:, Ed Skrein, , Patrick Wilson, , Woody Harrelson, , Luke Evans","The story of the Battle of Midway, told by the leaders and the sailors who fought it.",6.7,138 min,PG-13,89795,"56,846,802"
Ghost Adventures,tt1319900,2008– ,"Documentary, History, Reality-TV","Stars:, Zak Bagans, , Aaron Goodwin, , Billy Tolley, , Jay Wasley","Zak Bagans, Aaron Goodwin, Billy Tolley, and Jay Wasley investigate the scariest, most notorious, haunted places in the world.",7.3,45 min,TV-PG,9795,
Robin Hood,tt0955308,2010,"Action, Adventure, Drama","Director:, Ridley Scott, | ,     Stars:, Russell Crowe, , Cate Blanchett, , Matthew Macfadyen, , Max von Sydow","In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",6.6,140 min,PG-13,275408,"105,269,730"
Victoria,tt5137338,2016–2019,"Biography, Drama, History","Stars:, Jenna Coleman, , Adrian Schiller, , Tommy Knight, , Jordan Waller","The early life of Queen Victoria, from her ascension to the throne at the tender age of 18 to her courtship and marriage to Prince Albert.",8.2,60 min,TV-PG,29108,
