Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Invasion,tt9737326,2021– ,"Drama, Fantasy, Sci-Fi","Stars:, Golshifteh Farahani, , Shamier Anderson, , Shioli Kutsuna, , Firas Nassar",Earth is visited by an alien species that threatens humanity's existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.,6.1,60 min,TV-MA,30867,
Knights of the Zodiac,tt6528290,2023,"Action, Adventure, Drama","Director:, Tomasz Baginski, | ,     Stars:, Mackenyu, , Famke Janssen, , Madison Iseman, , Diego Tinoco","When a goddess of war reincarnates in the body of a young girl, street orphan Seiya discovers that he is destined to protect her and save the world. But only if he can face his own past and become a Knight of the Zodiac.",4.6,112 min,PG-13,3060,
Teen Wolf,tt1567432,2011–2017,"Action, Drama, Fantasy","Stars:, Tyler Posey, , Holland Roden, , Dylan O'Brien, , Linden Ashby",An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,7.7,41 min,TV-14,156074,
The Good Place,tt4955642,2016–2020,"Comedy, Drama, Fantasy","Stars:, Kristen Bell, , William Jackson Harper, , Jameela Jamil, , D'Arcy Carden",Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,8.2,22 min,TV-PG,172438,
Twilight,tt1099212,I) (2008,"Drama, Fantasy, Romance","Director:, Catherine Hardwicke, | ,     Stars:, Kristen Stewart, , Robert Pattinson, , Billy Burke, , Sarah Clarke","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",5.3,122 min,PG-13,471763,"192,769,854"
The Northman,tt11138512,2022,"Action, Adventure, Drama","Director:, Robert Eggers, | ,     Stars:, Alexander Skarsgård, , Nicole Kidman, , Claes Bang, , Ethan Hawke",A young Viking prince is on a quest to avenge his father's murder.,7.0,137 min,R,228658,"34,233,110"
Peacemaker,tt13146488,2022– ,"Action, Adventure, Comedy","Stars:, John Cena, , Danielle Brooks, , Freddie Stroma, , Jennifer Holland","Picking up where The Suicide Squad (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price.",8.3,40 min,TV-MA,121271,
The Mummy,tt0120616,1999,"Action, Adventure, Fantasy","Director:, Stephen Sommers, | ,     Stars:, Brendan Fraser, , Rachel Weisz, , John Hannah, , Arnold Vosloo","At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",7.1,124 min,PG-13,444070,"155,247,825"
Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,2003,"Action, Adventure, Fantasy","Director:, Gore Verbinski, | ,     Stars:, Johnny Depp, , Geoffrey Rush, , Orlando Bloom, , Keira Knightley","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",8.1,143 min,PG-13,1154611,"305,413,918"
Charmed,tt0158552,1998–2006,"Drama, Fantasy, Mystery","Stars:, Holly Marie Combs, , Alyssa Milano, , Brian Krause, , Rose McGowan","Three Halliwell sisters discover that they are descendants of a line of good female witches and are destined to fight against the forces of evil, using their combined power of witchcraft known as the ""Power of Three"".",7.1,42 min,TV-14,87236,
