Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Titanic,tt0120338,1997,"Drama, Romance","Director:, James Cameron, | ,     Stars:, Leonardo DiCaprio, , Kate Winslet, , Billy Zane, , Kathy Bates","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",7.9,194 min,PG-13,1220119,"659,325,379"
The Summer I Turned Pretty,tt14016500,2022– ,"Drama, Romance","Stars:, Lola Tung, , Jackie Chung, , Rachel Blanchard, , Christopher Briney","A love triangle between one girl and two brothers. A story about first love, first heartbreak, and the magic of that one perfect summer.",7.4,45 min,TV-14,23878,
Two and a Half Men,tt0369179,2003–2015,"Comedy, Romance","Stars:, Jon Cryer, , Ashton Kutcher, , Angus T. Jones, , Conchata Ferrell",A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,7.1,22 min,TV-14,270919,
New Girl,tt1826940,2011–2018,"Comedy, Romance","Stars:, Zooey Deschanel, , Jake Johnson, , Max Greenfield, , Hannah Simone","After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.",7.8,22 min,TV-14,233972,
Buffy the Vampire Slayer,tt0118276,1997–2003,"Action, Drama, Fantasy","Stars:, Sarah Michelle Gellar, , Nicholas Brendon, , Alyson Hannigan, , Anthony Head","A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends.",8.3,44 min,TV-14,152516,
Riverdale,tt5420376,2017–2023,"Crime, Drama, Mystery","Stars:, Lili Reinhart, , Camila Mendes, , Cole Sprouse, , K.J. Apa","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",6.6,45 min,TV-14,149106,
Thor: Love and Thunder,tt10648342,2022,"Action, Adventure, Comedy","Director:, Taika Waititi, | ,     Stars:, Chris Hemsworth, , Natalie Portman, , Christian Bale, , Tessa Thompson","Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",6.2,118 min,PG-13,364806,"343,256,830"
Where the Crawdads Sing,tt9411972,2022,"Drama, Mystery, Romance","Director:, Olivia Newman, | ,     Stars:, Daisy Edgar-Jones, , Taylor John Smith, , Harris Dickinson, , David Strathairn",A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.,7.2,125 min,PG-13,98437,"90,230,760"
Grease: Rise of the Pink Ladies,tt11127388,2023– ,"Comedy, Musical, Romance","Stars:, Marisa Davila, , Cheyenne Isabel Wells, , Ari Notartomaso, , Tricia Fukuhara",A spinoff of the original John Travolta and Olivia Newton John 1978 musical.,5.7,,TV-14,3214,
ER,tt0108757,1994–2009,"Drama, Romance","Stars:, Anthony Edwards, , George Clooney, , Julianna Margulies, , Eriq La Salle","The lives, loves and losses of the doctors and nurses of Chicago's County General Hospital.",7.9,44 min,TV-14,64168,
Fifty Shades of Grey,tt2322441,2015,"Drama, Romance, Thriller","Director:, Sam Taylor-Johnson, | ,     Stars:, Dakota Johnson, , Jamie Dornan, , Jennifer Ehle, , Eloise Mumford","Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",4.2,125 min,R,326400,"166,167,230"
Station 19,tt7053188,2018– ,"Action, Drama, Romance","Stars:, Jaina Lee Ortiz, , Jason George, , Grey Damon, , Barrett Doss","This spinoff of the critically acclaimed show Grey's Anatomy follows the lives of the men and women of firehouse station 19 in Seattle, Washington.",7.0,60 min,TV-14,17669,
Pitch Perfect,tt1981677,2012,"Comedy, Music, Romance","Director:, Jason Moore, | ,     Stars:, Anna Kendrick, , Brittany Snow, , Rebel Wilson, , Anna Camp","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",7.1,112 min,PG-13,317576,"65,001,093"
Once Upon a Time,tt1843230,2011–2018,"Adventure, Fantasy, Romance","Stars:, Ginnifer Goodwin, , Jennifer Morrison, , Lana Parrilla, , Robert Carlyle",A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,7.7,60 min,TV-PG,229681,
True Blood,tt0844441,2008–2014,"Drama, Fantasy, Mystery","Stars:, Anna Paquin, , Stephen Moyer, , Sam Trammell, , Ryan Kwanten","Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton, a southern Louisiana gentleman and vampire.",7.9,55 min,TV-MA,251902,
One Tree Hill,tt0368530,2003–2012,"Drama, Romance, Sport","Stars:, Chad Michael Murray, , James Lafferty, , Hilarie Burton, , Bethany Joy Lenz","Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina.",7.8,60 min,TV-14,83444,
Outer Banks,tt10293938,2020– ,"Action, Crime, Drama","Stars:, Chase Stokes, , Madelyn Cline, , Madison Bailey, , J.D.","On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",7.5,50 min,TV-MA,68678,
Forrest Gump,tt0109830,1994,"Drama, Romance","Director:, Robert Zemeckis, | ,     Stars:, Tom Hanks, , Robin Wright, , Gary Sinise, , Sally Field","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",8.8,142 min,PG-13,2138331,"330,252,182"
Past Lives,tt13238346,2023,"Drama, Romance","Director:, Celine Song, | ,     Stars:, Greta Lee, , Teo Yoo, , John Magaro, , Moon Seung-ah","Nora and Hae Sung, two deeply connected childhood friends, are wrest apart after Nora's family emigrates from South Korea. 20 years later, they are reunited for one fateful week as they confront notions of love and destiny.",8.4,106 min,PG-13,612,
Aladdin,tt6139732,2019,"Adventure, Comedy, Family","Director:, Guy Ritchie, | ,     Stars:, Will Smith, , Mena Massoud, , Naomi Scott, , Marwan Kenzari",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,6.9,128 min,PG,276505,"355,559,216"
May December,tt13651794,2023,"Drama, Romance","Director:, Todd Haynes, | ,     Stars:, Natalie Portman, , Julianne Moore, , Jocelyn Shelfo, , Charles Melton","Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under the pressure when an actress arrives to do research for a film about their past.",7.1,113 min,,233,
Good Will Hunting,tt0119217,1997,"Drama, Romance","Director:, Gus Van Sant, | ,     Stars:, Robin Williams, , Matt Damon, , Ben Affleck, , Stellan Skarsgård","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",8.3,126 min,R,1004896,"138,433,435"
Downton Abbey,tt1606375,2010–2015,"Drama, Romance","Stars:, Hugh Bonneville, , Phyllis Logan, , Elizabeth McGovern, , Brendan Coyle",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,8.7,58 min,TV-PG,213699,
Desperate Housewives,tt0410975,2004–2012,"Comedy, Drama, Mystery","Stars:, Teri Hatcher, , Felicity Huffman, , Marcia Cross, , Eva Longoria",Secrets and truths unfold through the lives of female friends in one suburban neighborhood after the mysterious suicide of a neighbor.,7.6,45 min,TV-14,133147,
Love,tt3774694,II) (2015,"Drama, Romance","Director:, Gaspar Noé, | ,     Stars:, Aomi Muyock, , Karl Glusman, , Klara Kristin, , Juan Saavedra","Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.",6.1,135 min,TV-MA,62626,
Pride & Prejudice,tt0414387,2005,"Drama, Romance","Director:, Joe Wright, | ,     Stars:, Keira Knightley, , Matthew Macfadyen, , Brenda Blethyn, , Donald Sutherland","Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",7.8,129 min,PG,308421,"38,405,088"
Rome,tt0384766,2005–2007,"Action, Drama, Romance","Stars:, Kevin McKidd, , Ray Stevenson, , Polly Walker, , Kerry Condon",A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,8.7,52 min,TV-MA,177140,
Beauty and the Beast,tt2771200,I) (2017,"Adventure, Family, Fantasy","Director:, Bill Condon, | ,     Stars:, Emma Watson, , Dan Stevens, , Luke Evans, , Josh Gad","A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.",7.1,129 min,PG,319766,"504,014,165"
Book Club,tt6857166,I) (2018,"Comedy, Drama, Romance","Director:, Bill Holderman, | ,     Stars:, Diane Keaton, , Jane Fonda, , Candice Bergen, , Mary Steenburgen",Four lifelong friends have their lives forever changed after reading 50 Shades of Grey in their monthly book club.,6.1,104 min,PG-13,30251,"68,566,296"
Sex/Life,tt10839422,2021–2023,"Comedy, Drama, Romance","Stars:, Sarah Shahi, , Margaret Odette, , Mike Vogel, , Adam Demos",A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild child past.,5.5,45 min,TV-MA,28221,
Beautiful Disaster,tt2316548,2023,"Drama, Romance","Director:, Roger Kumble, | ,     Stars:, Libe Barer, , Neil Bishop, , Michael Cudlitz, , Micky Dartford","College freshman, Abby, tries to distance herself from her dark past while resisting her attraction to bad boy, Travis.",5.2,105 min,R,3757,
Spartacus,tt1442449,2010–2013,"Action, Adventure, Biography","Stars:, Andy Whitfield, , Lucy Lawless, , Manu Bennett, , Daniel Feuerriegel","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",8.5,55 min,TV-MA,247909,
Miraculous: Tales of Ladybug & Cat Noir,tt2580046,2015– ,"Animation, Action, Adventure","Stars:, Cristina Valenzuela, , Bryce Papenbrook, , Keith Silverstein, , Max Mittelman","Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.",7.6,20 min,TV-Y7,13003,
Cinderella,tt1661199,I) (2015,"Adventure, Drama, Family","Director:, Kenneth Branagh, | ,     Stars:, Lily James, , Cate Blanchett, , Richard Madden, , Helena Bonham Carter","When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",6.9,105 min,PG,182923,"201,151,353"
Teen Wolf,tt1567432,2011–2017,"Action, Drama, Fantasy","Stars:, Tyler Posey, , Holland Roden, , Dylan O'Brien, , Linden Ashby",An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,7.7,41 min,TV-14,156078,
The Good Place,tt4955642,2016–2020,"Comedy, Drama, Fantasy","Stars:, Kristen Bell, , William Jackson Harper, , Jameela Jamil, , D'Arcy Carden",Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,8.2,22 min,TV-PG,172442,
Twilight,tt1099212,I) (2008,"Drama, Fantasy, Romance","Director:, Catherine Hardwicke, | ,     Stars:, Kristen Stewart, , Robert Pattinson, , Billy Burke, , Sarah Clarke","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",5.3,122 min,PG-13,471766,"192,769,854"
Little House on the Prairie,tt0071007,1974–1983,"Drama, Family, Romance","Stars:, Melissa Gilbert, , Michael Landon, , Karen Grassle, , Rachel Lindsay Greenbush",The life and adventures of the Ingalls family in the nineteenth century American Midwest.,7.5,60 min,TV-PG,24898,
