Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Infinity Pool,tt10365998,2023,"Crime, Horror, Mystery","Director:, Brandon Cronenberg, | ,     Stars:, Alexander Skarsgård, , Mia Goth, , Cleopatra Coleman, , Dunja Sepcic","James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.",6.1,117 min,R,31001,
Hereditary,tt7784604,2018,"Drama, Horror, Mystery","Director:, Ari Aster, | ,     Stars:, Toni Collette, , Milly Shapiro, , Gabriel Byrne, , Alex Wolff",A grieving family is haunted by tragic and disturbing occurrences.,7.3,127 min,R,342364,"44,069,456"
"Love, Death & Robots",tt9561862,2019– ,"Animation, Short, Action","Stars:, Fred Tatasciore, , Scott Whyte, , Nolan North, , Noshir Dalal","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",8.4,15 min,TV-MA,179754,
Winnie the Pooh: Blood and Honey,tt19623240,2023,Horror,"Director:, Rhys Frake-Waterfield, | ,     Stars:, Nikolai Leon, , Maria Taylor, , Natasha Rose Mills, , Amber Doig-Thorne","After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.",3.0,84 min,Not Rated,17442,
Hannibal,tt2243973,2013–2015,"Crime, Drama, Horror","Stars:, Hugh Dancy, , Mads Mikkelsen, , Caroline Dhavernas, , Laurence Fishburne",Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,8.5,44 min,TV-MA,262494,
Alien,tt0078748,1979,"Horror, Sci-Fi","Director:, Ridley Scott, | ,     Stars:, Sigourney Weaver, , Tom Skerritt, , John Hurt, , Veronica Cartwright",The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,8.5,117 min,R,904145,"78,900,000"
Tusk,tt3099498,I) (2014,"Comedy, Horror","Director:, Kevin Smith, | ,     Stars:, Justin Long, , Michael Parks, , Haley Joel Osment, , Genesis Rodriguez",A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.,5.3,102 min,R,58435,"1,821,983"
Scream,tt0117571,1996,"Horror, Mystery","Director:, Wes Craven, | ,     Stars:, Neve Campbell, , Courteney Cox, , David Arquette, , Skeet Ulrich","A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.",7.4,111 min,R,364584,"103,046,663"
Evil Dead,tt1288558,2013,Horror,"Director:, Fede Alvarez, | ,     Stars:, Jane Levy, , Shiloh Fernandez, , Jessica Lucas, , Lou Taylor Pucci","Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.",6.5,91 min,R,187215,"54,239,856"
What We Do in the Shadows,tt7908628,2019– ,"Comedy, Fantasy, Horror","Stars:, Kayvan Novak, , Matt Berry, , Natasia Demetriou, , Harvey Guillén",A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,8.6,30 min,TV-MA,84787,
Orphan,tt1148204,2009,"Horror, Mystery, Thriller","Director:, Jaume Collet-Serra, | ,     Stars:, Vera Farmiga, , Peter Sarsgaard, , Isabelle Fuhrman, , CCH Pounder",A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.,7.0,123 min,R,239698,"41,596,251"
Dark Nature,tt16427398,2022,Horror,"Director:, Berkley Brady, | ,     Stars:, Madison Walsh, , Hannah Emily Anderson, , Helen Belay, , Griffin Cork",It tells the story of a therapy group that is forced to confront the monsters of their past when an isolated weekend retreat tests their emotional resilience and ability to survive.,4.6,85 min,,390,
Nancy Drew,tt10313176,2019–2023,"Drama, Horror, Mystery","Stars:, Kennedy McMann, , Alex Saxon, , Tunji Kasim, , Maddison Jaizani","Young Nancy Drew makes plans to leave her hometown for college after high school graduation, but finds herself drawn into a supernatural murder mystery.",6.6,44 min,TV-14,9262,
The Meg,tt4779682,2018,"Action, Horror, Sci-Fi","Director:, Jon Turteltaub, | ,     Stars:, Jason Statham, , Bingbing Li, , Rainn Wilson, , Cliff Curtis",A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,5.6,113 min,PG-13,180726,"143,005,856"
The Twilight Zone,tt0052520,1959–1964,"Drama, Fantasy, Horror","Stars:, Rod Serling, , Robert McCord, , Jay Overholts, , James Turley","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",9.1,51 min,TV-PG,87358,
Doctor Strange in the Multiverse of Madness,tt9419884,2022,"Action, Adventure, Fantasy","Director:, Sam Raimi, | ,     Stars:, Benedict Cumberbatch, , Elizabeth Olsen, , Chiwetel Ejiofor, , Benedict Wong","Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",6.9,126 min,PG-13,439803,"411,331,607"
The Pale Blue Eye,tt14138650,2022,"Crime, Horror, Mystery","Director:, Scott Cooper, | ,     Stars:, Christian Bale, , Harry Melling, , Simon McBurney, , Timothy Spall","A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe.",6.6,128 min,R,106994,
The Shining,tt0081505,1980,"Drama, Horror","Director:, Stanley Kubrick, | ,     Stars:, Jack Nicholson, , Shelley Duvall, , Danny Lloyd, , Scatman Crothers","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",8.4,146 min,R,1050200,"44,017,374"
Knock Knock,tt3605418,I) (2015,"Crime, Drama, Horror","Director:, Eli Roth, | ,     Stars:, Keanu Reeves, , Lorenza Izzo, , Ana de Armas, , Aaron Burns","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",4.9,99 min,R,99175,"36,336"
