Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
The Mandalorian,tt8111088,2019– ,"Action, Adventure, Fantasy","Stars:, Pedro Pascal, , Chris Bartlett, , Katee Sackhoff, , Carl Weathers","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",8.7,40 min,TV-14,546882,
S.W.A.T.,tt6111130,2017–2023,"Action, Adventure, Crime","Stars:, Shemar Moore, , Alex Russell, , Kenny Johnson, , Jay Harrington",Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.,7.2,43 min,TV-14,27212,
Jack Ryan,tt5057054,2018–2023,"Action, Drama, Thriller","Stars:, John Krasinski, , Wendell Pierce, , Michael Kelly, , Abbie Cornish","Up-and-coming CIA analyst, Jack Ryan, is thrust into dangerous field assignments.",8.0,60 min,TV-MA,149591,
To Catch a Killer,tt10275534,2023,"Action, Crime, Drama","Director:, Damián Szifron, | ,     Stars:, Shailene Woodley, , Ben Mendelsohn, , Jovan Adepo, , Ralph Ineson",Baltimore. New Year's Eve. A talented but troubled police officer (Shailene Woodley) is recruited by the FBI's chief investigator (Ben Mendelsohn) to help profile and track down a disturbed individual terrorizing the city.,6.5,119 min,R,11350,
NCIS,tt0364845,2003– ,"Action, Crime, Drama","Stars:, David McCallum, , Sean Murray, , Mark Harmon, , Brian Dietzen","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team.",7.8,60 min,TV-14,154592,
Kandahar,tt5761544,2023,"Action, Thriller","Director:, Ric Roman Waugh, | ,     Stars:, Gerard Butler, , Navid Negahban, , Ali Fazal, , Bahador Foladi",A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission.,6.2,119 min,R,1726,
Top Gun: Maverick,tt1745960,2022,"Action, Drama","Director:, Joseph Kosinski, | ,     Stars:, Tom Cruise, , Jennifer Connelly, , Miles Teller, , Val Kilmer","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",8.3,130 min,PG-13,592523,"718,732,821"
Attack on Titan,tt2560140,2013–2023,"Animation, Action, Adventure","Stars:, Josh Grelle, , Bryce Papenbrook, , Yûki Kaji, , Yui Ishikawa","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",9.1,24 min,TV-MA,413124,
One Piece,tt0388629,1999– ,"Animation, Action, Adventure","Stars:, Mayumi Tanaka, , Laurent Vernin, , Tony Beck, , Akemi Okamura","Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",8.9,24 min,TV-14,146388,
F9: The Fast Saga,tt5433138,2021,"Action, Crime, Thriller","Director:, Justin Lin, | ,     Stars:, Vin Diesel, , Michelle Rodriguez, , Jordana Brewster, , Tyrese Gibson",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,5.2,143 min,PG-13,147686,"173,202,780"
Star Trek: Strange New Worlds,tt12327578,2022– ,"Action, Adventure, Sci-Fi","Stars:, Melissa Navia, , Christina Chong, , Anson Mount, , Ethan Peck","A prequel to Star Trek: The Original Series, the show follows the crew of the USS Enterprise under Captain Christopher Pike.",8.2,52 min,TV-PG,38027,
Avatar: The Way of Water,tt1630029,2022,"Action, Adventure, Fantasy","Director:, James Cameron, | ,     Stars:, Sam Worthington, , Zoe Saldana, , Sigourney Weaver, , Stephen Lang","Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",7.7,192 min,PG-13,389090,"659,682,302"
Reacher,tt9288030,2022– ,"Action, Crime, Drama","Stars:, Alan Ritchson, , Malcolm Goodwin, , Willa Fitzgerald, , Hugh Thompson",Jack Reacher was arrested for murder and now the police need his help. Based on the books by Lee Child.,8.1,49 min,TV-MA,140067,
65,tt12261776,2023,"Action, Adventure, Drama","Directors:, Scott Beck, , Bryan Woods, | ,     Stars:, Adam Driver, , Ariana Greenblatt, , Chloe Coleman, , Nika King",An astronaut crash lands on a mysterious planet only to discover he's not alone.,5.4,93 min,PG-13,47207,
Justified,tt1489428,2010–2015,"Action, Crime, Drama","Stars:, Timothy Olyphant, , Nick Searcy, , Joelle Carter, , Jacob Pitts","Enforcing his own brand of justice, US Marshal Raylan, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need.",8.6,44 min,TV-MA,105682,
Everything Everywhere All at Once,tt6710474,2022,"Action, Adventure, Comedy","Directors:, Daniel Kwan, , Daniel Scheinert, | ,     Stars:, Michelle Yeoh, , Stephanie Hsu, , Jamie Lee Curtis, , Ke Huy Quan",A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,7.8,139 min,R,451293,"72,861,480"
House of the Dragon,tt11198330,2022– ,"Action, Adventure, Drama","Stars:, Matt Smith, , Graham McTavish, , Steve Toussaint, , Eve Best","An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.",8.5,,TV-MA,329111,
Guardians of the Galaxy,tt2015381,2014,"Action, Adventure, Comedy","Director:, James Gunn, | ,     Stars:, Chris Pratt, , Vin Diesel, , Bradley Cooper, , Zoe Saldana",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8.0,121 min,PG-13,1220519,"333,176,600"
The Witcher,tt5180504,2019– ,"Action, Adventure, Drama","Stars:, Henry Cavill, , Freya Allan, , Anya Chalotra, , Mimi Ndiweni","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",8.1,60 min,TV-MA,519877,
Ghosted,tt15326988,I) (2023,"Action, Adventure, Comedy","Director:, Dexter Fletcher, | ,     Stars:, Chris Evans, , Ana de Armas, , Adrien Brody, , Mike Moh","Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.",5.8,116 min,PG-13,41944,
Sweet Tooth,tt12809988,2021– ,"Action, Adventure, Drama","Stars:, Nonso Anozie, , Christian Convery, , Adeel Akhtar, , Stefania LaVie Owen",A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,7.8,50 min,TV-14,61587,
The Last Kingdom,tt4179452,2015–2022,"Action, Drama, History","Stars:, Alexander Dreymon, , Eliza Butterworth, , Arnas Fedaravicius, , Mark Rowley","As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.",8.5,60 min,TV-MA,154091,
9-1-1,tt7235466,2018– ,"Action, Drama, Thriller","Stars:, Angela Bassett, , Peter Krause, , Oliver Stark, , Aisha Hinds","Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking, and heart-stopping situations.",7.9,43 min,TV-14,39471,
Banshee,tt2017109,2013–2016,"Action, Crime, Drama","Stars:, Antony Starr, , Ivana Milicevic, , Ulrich Thomsen, , Frankie Faison","An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business.",8.4,60 min,TV-MA,110356,
Vikings,tt2306299,2013–2020,"Action, Adventure, Drama","Stars:, Katheryn Winnick, , Gustaf Skarsgård, , Alexander Ludwig, , Georgia Hirst","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.",8.5,44 min,TV-MA,552450,
John Wick,tt2911666,2014,"Action, Crime, Thriller","Directors:, Chad Stahelski, , David Leitch, | ,     Stars:, Keanu Reeves, , Michael Nyqvist, , Alfie Allen, , Willem Dafoe",An ex-hitman comes out of retirement to track down the gangsters who killed his dog and stole his car.,7.4,101 min,R,696147,"43,037,835"
Peter Pan & Wendy,tt5635026,2023,"Action, Adventure, Comedy","Director:, David Lowery, | ,     Stars:, Alexander Molony, , Ever Anderson, , Jude Law, , Alyssa Wapanatâhk","Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland.",4.4,106 min,PG,22790,
Bullet Train,tt12593682,2022,"Action, Comedy, Thriller","Director:, David Leitch, | ,     Stars:, Brad Pitt, , Joey King, , Aaron Taylor-Johnson, , Brian Tyree Henry",Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,7.3,127 min,R,361433,"103,368,602"
Indiana Jones and the Raiders of the Lost Ark,tt0082971,1981,"Action, Adventure","Director:, Steven Spielberg, | ,     Stars:, Harrison Ford, , Karen Allen, , Paul Freeman, , John Rhys-Davies","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",8.4,115 min,PG,987761,"248,159,971"
