Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Happy Gilmore,tt0116483,1996,"Comedy, Sport","Director:, Dennis Dugan, | ,     Stars:, Adam Sandler, , Christopher McDonald, , Julie Bowen, , Frances Bay",A rejected hockey player puts his skills to the golf course to save his grandmother's house.,7.0,92 min,PG-13,235497,"38,624,000"
The Blind Side,tt0878804,2009,"Biography, Drama, Sport","Director:, John Lee Hancock, | ,     Stars:, Quinton Aaron, , Sandra Bullock, , Tim McGraw, , Jae Head","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",7.6,129 min,PG-13,344801,"255,959,475"
Remember the Titans,tt0210945,2000,"Biography, Drama, Sport","Director:, Boaz Yakin, | ,     Stars:, Denzel Washington, , Will Patton, , Wood Harris, , Ryan Hurst",The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,7.8,113 min,PG,222555,"115,654,751"
The Last Dance,tt8420184,2020,"Documentary, Biography, History","Stars:, Michael Jordan, , Phil Jackson, , Scottie Pippen, , David Aldridge","Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",9.1,491 min,TV-MA,135230,
Hustle,tt8009428,2022,"Comedy, Drama, Sport","Director:, Jeremiah Zagar, | ,     Stars:, Adam Sandler, , Queen Latifah, , Juancho Hernangomez, , Ben Foster",A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,7.3,117 min,R,132301,
Welcome to Wrexham,tt14674086,2022– ,"Documentary, Sport","Stars:, Wrexham A.F.C., , Ryan Reynolds, , Rob McElhenney, , Phil Parkinson","Docuseries chronicling the purchase and stewardship of Wrexham AFC, one of professional football's oldest clubs, by two Hollywood actors, Ryan Reynolds and Rob McElhenney.",8.2,28 min,TV-MA,14271,
Creed,tt3076658,II) (2015,"Action, Drama, Sport","Director:, Ryan Coogler, | ,     Stars:, Michael B. Jordan, , Sylvester Stallone, , Tessa Thompson, , Phylicia Rashad","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",7.6,133 min,PG-13,297037,"109,767,581"
Cars 2,tt1216475,2011,"Animation, Adventure, Comedy","Directors:, John Lasseter, , Bradford Lewis, | ,     Stars:, Owen Wilson, , Larry the Cable Guy, , Michael Caine, , Emily Mortimer",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,6.2,106 min,G,201424,"191,452,396"
Cars 3,tt3606752,2017,"Animation, Adventure, Comedy","Director:, Brian Fee, | ,     Stars:, Owen Wilson, , Cristela Alonzo, , Chris Cooper, , Nathan Fillion",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.,6.7,102 min,G,108903,"152,901,115"
The Longest Yard,tt0398165,2005,"Comedy, Crime, Sport","Director:, Peter Segal, | ,     Stars:, Adam Sandler, , Burt Reynolds, , Chris Rock, , Nelly",Prison inmates form a football team to challenge the prison guards.,6.4,113 min,PG-13,186714,"158,119,460"
