Title,IMDb ID,Release Year,Genre,Cast,Synopsis,Rating,Runtime,Certificate,Number of Votes,Gross Revenue
Border Brigands,tt0026127,1935,Western,"Director:, Nick Grinde, | ,     Stars:, Buck Jones, , Lona Andre, , Fred Kohler, , Frank Rice",Canadian Mountie goes undercover to catch his brother's killers.,5.8,56 min,Passed,56,
Broken Fences,tt1196595,2008,"Drama, Western","Director:, Troy McGatlin, | ,     Stars:, Jan Van Sickle, , Ryan J. Parker, , Earla Stewart, , Wesley Walker","Joe, a rancher in the mountains of Colorado, has his life of solitude interrupted when his luckless son gets paroled from prison and moves back in with him, bringing his ill-fated ways along.",4.4,101 min,Not Rated,181,
Man from Oklahoma,tt0037894,1945,"Drama, Music, Western","Director:, Frank McDonald, | ,     Stars:, Roy Rogers, , Trigger, , George 'Gabby' Hayes, , Dale Evans",Roy spends most of this movie rescuing Dale from terrible fates. The film includes a reenactment of land rush opening the Oklahoma Territory.,6.2,68 min,Passed,80,
O Lamparina,tt0194092,1964,"Adventure, Comedy, Western","Director:, Glauco Mirko Laurelli, | ,     Stars:, Amácio Mazzaropi, , Geny Prado, , Manoel Vieira, , Zilda Cardoso","After being deceived by a small time crook with a promise of a job for his family, Bernardino Jabá (Amácio Mazzaropi), his wife Marcolina Jabá (Geny Prado), their two sons, their daughter ...                See full summary »",7.7,104 min,,82,
Code of the Saddle,tt0039270,1947,Western,"Director:, Thomas Carr, | ,     Stars:, Johnny Mack Brown, , Raymond Hatton, , Kay Morley, , Riley Hill","John and Winks, investigating a range war, quickly find that the Sheriff is the culprit. When they bring in a killer he is released. But when another rancher is killed by the Sheriff's men, John and Winks are jailed.",6.1,53 min,Approved,43,
The Haunted Mine,tt0038591,1946,"Drama, Western","Director:, Derwin Abrahams, | ,     Stars:, Johnny Mack Brown, , Raymond Hatton, , Linda Leighton, , Riley Hill","U.S. Marshals ""Nevada Jack"" McKenzie and ""Sandy"" Hopkins, working undercover, investigate a plot to rob a widow and her daughter of a mine which they know to be filled with gold-laden ore, ...                See full summary »",5.6,51 min,Passed,17,
Stoney,tt1513919,2010,"Short, Adventure, Drama","Director:, Jacob LaMendola, | ,     Stars:, Tom Noonan, , Anthony J DeAnzeris, , Wendy Susan Hammer, , Meryl Jones Williams",A man and his backyard.,8.3,16 min,,8,
The Light Harvester,tt3257152,2014,"Short, Drama, Sci-Fi","Director:, Jason Howden, | ,     Stars:, John Bach, , Thomas Banda, , Craig Hall, , Beck Taylor","The Light Harvester is set in a post-apocalyptic world shrouded in darkness, where light is rare and valuable. Troy needs light to heal his wife, Anna. On the brink death, they come across ...                See full summary »",7.3,17 min,,9,
Fast on the Draw,tt0042448,1950,"Drama, Western","Director:, Thomas Carr, | ,     Stars:, James Ellison, , Russell Hayden, , Raymond Hatton, , Fuzzy Knight","When Shamrock was young, the Cat killed his parents. Now grown, Shamrock gets appointed Marshal when he breaks up a robbery attempt by Tex and his men. Tex works for the Cat and when he and...                See full summary »",5.5,55 min,Passed,53,
Cyclone on Horseback,tt0033505,1941,"Drama, Western","Director:, Edward Killy, | ,     Stars:, Tim Holt, , Marjorie Reynolds, , Ray Whitley, , Lee 'Lasses' White","Delivering horses, Stan Bradford gets caught up in Cobb Wayne's attempt to stop Jeff Corbin from completing the telephone line. If Corbin fails to meet the deadline, Wayne can take over. ...                See full summary »",5.8,60 min,Passed,130,
Blaze Glory,tt0403884,1969,"Animation, Short, Comedy","Directors:, Len Janson, , Chuck Menville, | ,     Stars:, Chuck Menville, , Genadee Cook, , Len Janson, , Hawley Lawrence","A stop-motion pixilation spoof of old-time westerns in which actors appear to ride non-existent horses. A stagecoach is robbed by the villain, the heroine is abducted and Blaze Glory eventually recovers both the heroine and the money.",8.3,11 min,G,64,
Son of Roaring Dan,tt0033077,1940,"Drama, Music, Western","Director:, Ford Beebe, | ,     Stars:, Johnny Mack Brown, , Fuzzy Knight, , Nell O'Day, , Jean Brooks","One of Thorndyke's men has murdered a man and Eris is the only witness. Jim Reardon breaks up Thorndyke's first attempt to kidnap Eris but the second attempt is successful, Jim now not only...                See full summary »",6.0,63 min,Approved,32,
Totò ciak,tt0164207,1967 TV Movie,"Comedy, Western","Director:, Daniele D'Anza, | ,     Stars:, Totò, , Ubaldo Lay, , Daniele Vargas, , Margherita Guzzinati","Toto participates in various samples in a study of cinema, first going in a studio where there's shooting a spy movie, then in a western scenario, where he has to play a cruel and uncouth bandit who must challenge him to a duel a cowboy.",5.2,50 min,,27,
Cavalry Patrol,tt0411220,1956 TV Movie,Western,"Director:, Charles Marquis Warren, | ,     Stars:, Dewey Martin, , Royal Dano, , Richard Golden, , Charles H. Gray",Lieutenant Johnny Reardon and his motley company of troopers defend miles of Arizona frontier against Apaches and cutthroats.,6.4,30 min,,14,
Smoky,tt0024577,1933,Western,"Director:, Eugene Forde, | ,     Stars:, Victor Jory, , Irene Bentley, , Frank Campeau, , Hank Mann","The story of bronco buster Clint's undying devotion to his horse. Separated early on from Clint, Smoky is sold to a notions dealer, undergoing the humiliation of hauling a junk wagon until he grows too old for this sort of work.",7.2,69 min,,19,
The Phantom Kid,tt0121636,1977,"Comedy, Family, Western","Director:, Peter Hammond, | ,     Stars:, Michael Tough, , Susan Stacey, , Jeremy Kaplan, , Kelly Frost","Adam and Harmony go undercover to bust a band of train robbers. Trailing the bandits, they were later joined by ""The Phantom Kid"". Armed with a magical harmonica and a horse named Dynamite, they were able to round up the bad guys.",6.0,,,27,
Nevada Badmen,tt0043847,1951,"Drama, Western","Director:, Lewis D. Collins, | ,     Stars:, Whip Wilson, , Fuzzy Knight, , Jim Bannon, , I. Stanford Jolley","Cowhands Whip Wilson (Whip Wilson), Texas (Fuzzy Knight) and Jim Bannon (Jim Bannon) are heading for a California vacation when Jim gets a letter from his brother, Bob (Kenne Duncan), ...                See full summary »",7.3,58 min,Approved,21,
Requiescat,tt9060598,2018,"Short, Drama, Western","Director:, SJ Main Muñoz, | ,     Stars:, Adrian Favela, , Laura Cerón, , Mia Xitlali, , Alonso Alvarez","In this Western set on the rural coast of California in the 1920s, a teenager struggles to come of age in a racialized society.",8.1,18 min,,19,
"Hopfen, Malz und Blei",tt15172410,2021,"Comedy, Western","Director:, Mark Lohr, | ,     Stars:, Joel Akgün, , Corinna Blädel, , Florian Blädel, , Richard Ciuchendea","In this action comedy, the typical American image of the ""Wild West"" meets the Bavarian way of life and culture. Humorous and with love for the Bavarian homeland, the film plays with ...                See full summary »",6.1,103 min,,23,
Sangre en el Bravo,tt0282137,1966,Western,"Director:, Roberto Rodríguez, | ,     Stars:, Joaquín Cordero, , Julio Alemán, , Dacia González, , Nadia Milton",Add a Plot,5.5,106 min,,8,
Two Gun Justice,tt0030903,1938,"Drama, Western","Director:, Alan James, | ,     Stars:, Tim McCoy, , Betty Compson, , John Merton, , Joan Barclay",A western town is being overrun and ruled by a gang of outlaws led by Bart (John Merton). Former Ranger Tim (Tim McCoy) is called out of retirement and assigned to clean up the gang. He ...                See full summary »,6.2,57 min,Approved,29,
